Maturity Date,rate
2024-01-15,16.707871862456905
2024-02-15,16.555995994474717
2024-03-15,16.373888631546958
2024-04-15,16.16574714159313
2024-05-15,15.944367695011426
2024-06-15,15.716572721012973
2024-07-15,15.49962778650977
2024-08-15,15.284518056405682
2024-09-15,15.086380931740235
2024-10-15,14.903261200055683
2024-11-15,14.732542699777408
2024-12-15,14.587055708943307
2025-01-15,14.447559308028865
2025-02-15,14.326394032907874
2025-03-15,14.225299226377796
2025-04-15,14.136644855818366
2025-05-15,14.065251663637547
2025-06-15,14.010290597912135
2025-07-15,13.97447242896576
2025-08-15,13.955789837691896
2025-09-15,13.954978886158575
2025-10-15,13.966548330489205
2025-11-15,13.983259821466316
2025-12-15,13.99754413253136
2026-01-15,14.009485990559996
2026-02-15,14.01787666034117
2026-03-15,14.022603341143341
2026-04-15,14.024134150950639
2026-05-15,14.021989562127878
2026-06-15,14.016045193100574
2026-07-15,14.006565419032862
2026-08-15,13.992831137980959
2026-09-15,13.975862412581751
2026-10-15,13.958453485745482
2026-11-15,13.944330018840672
2026-12-15,13.93744988626143
2027-01-15,13.938119528809423
2027-02-15,13.94685989002284
2027-03-15,13.963462360134093
2027-04-15,13.988704643056762
2027-05-15,14.022811908217413
2027-06-15,14.066597602928928
2027-07-15,14.118054141309093
2027-08-15,14.180904361005252
2027-09-15,14.251758718878964
2027-10-15,14.327376964588233
2027-11-15,14.403274043058717
2027-12-15,14.470001778835421
2028-01-15,14.532909115264317
2028-02-15,14.587461214435853
2028-03-15,14.633518584747968
2028-04-15,14.672746228626218
2028-05-15,14.70372162154515
2028-06-15,14.726679390330709
2028-07-15,14.740385252345922
2028-08-15,14.745480744079495
2028-09-15,14.74183854031609
2028-10-15,14.731954530743309
2028-11-15,14.71892340955402
2028-12-15,14.706468758019042
2029-01-15,14.693463862697628
2029-02-15,14.68098691931009
2029-03-15,14.669246484692998
2029-04-15,14.657438891477774
2029-05-15,14.645999874135232
2029-06-15,14.634757920718446
2029-07-15,14.624266025713524
2029-08-15,14.613840971947203
2029-09-15,14.604009947893196
2029-10-15,14.594628587312236
2029-11-15,14.585560332087221
2029-12-15,14.577514232189017
2030-01-15,14.569414340855264
2030-02-15,14.56195530563765
2030-03-15,14.55526019188364
2030-04-15,14.548857042656666
2030-05-15,14.543026932108031
2030-06-15,14.537693515089494
2030-07-15,14.533123787470709
2030-08-15,14.529032815032423
2030-09-15,14.525648206553608
2030-10-15,14.522935076347617
2030-11-15,14.520869959662978
2030-12-15,14.519582552068183
2031-01-15,14.518941154018275
2031-02-15,14.519054184913077
2031-03-15,14.51991723031676
2031-04-15,14.521559019951235
2031-05-15,14.52402516894382
2031-06-15,14.5273803285343
2031-07-15,14.531471917332581
2031-08-15,14.53659785029907
2031-09-15,14.542549576776945
2031-10-15,14.54945122116538
2031-11-15,14.557443238542925
2031-12-15,14.565988252493337
2032-01-15,14.576000549646338
2032-02-15,14.586895831128423
2032-03-15,14.598686428470096
2032-04-15,14.611741619276629
2032-05-15,14.625950378296723
2032-06-15,14.641578862837491
2032-07-15,14.657883921397964
2032-08-15,14.675987418956609
2032-09-15,14.69506865810694
2032-10-15,14.715477568600583
2032-11-15,14.737587845193115
2032-12-15,14.759542055831037
2033-01-15,14.784456597792174
2033-02-15,14.810433534975148
2033-03-15,14.837040746665362
2033-04-15,14.866025920469433
2033-05-15,14.896634343447563
2033-06-15,14.929418482436436
2033-07-15,14.962813876134511
2033-08-15,14.99910045551569
