Maturity Date,rate
2023-12-07,0.1278838785926104
2024-01-07,0.12576141642678307
2024-02-07,0.12307083167330424
2024-03-07,0.1198190349988213
2024-04-07,0.11603518607255325
2024-05-07,0.1119152020159917
2024-06-07,0.10756333379957028
2024-07-07,0.103332344268944
2024-08-07,0.09907544264351253
2024-09-07,0.09512499179363831
2024-10-07,0.0914660904179776
2024-11-07,0.08804967282915133
2024-12-07,0.08513560122110486
2025-01-07,0.0823415352475414
2025-02-07,0.0799170551831827
2025-03-07,0.07789942934459515
2025-04-07,0.07613772203005897
2025-05-07,0.07473072667797354
2025-06-07,0.07366379261081923
2025-07-07,0.07299069186977403
2025-08-07,0.07267519302131897
2025-09-07,0.07272924424355853
2025-10-07,0.07303865824531641
2025-11-07,0.07345234615117713
2025-12-07,0.0738065882078065
2026-01-07,0.07411041190216205
2026-02-07,0.07433382388476129
2026-03-07,0.074473735792844
2026-04-07,0.0745429529788979
2026-05-07,0.07452953964097753
2026-06-07,0.07443123601383572
2026-07-07,0.07425222662154352
2026-08-07,0.07397854788316116
2026-09-07,0.07362939166679494
2026-10-07,0.07326093897105146
2026-11-07,0.07295017057438047
2026-12-07,0.07278228346402527
2027-01-07,0.07276131388350504
2027-02-07,0.07290030996964769
2027-03-07,0.07319561818661424
2027-04-07,0.07366022001195915
2027-05-07,0.07429939696891119
2027-06-07,0.07512826245747051
2027-07-07,0.07610845536701039
2027-08-07,0.07731048683101593
2027-09-07,0.07867179488554377
2027-10-07,0.08013256373010491
2027-11-07,0.08160506368259579
2027-12-07,0.08290295056744834
2028-01-07,0.08412674667107489
2028-02-07,0.08518876152165555
2028-03-07,0.08608683198845712
2028-04-07,0.08685377469569744
2028-05-07,0.08746242294765105
2028-06-07,0.08791780568135965
2028-07-07,0.08819573694521132
2028-08-07,0.08830967252653243
2028-09-07,0.08825370167390667
2028-10-07,0.0880721948654426
2028-11-07,0.08782439373356499
2028-12-07,0.08758422951188294
2029-01-07,0.08733333689612222
2029-02-07,0.08709252282699698
2029-03-07,0.08686582158243716
2029-04-07,0.08663772137621528
2029-05-07,0.08641663488448192
2029-06-07,0.08619924918407285
2029-07-07,0.08599626268931448
2029-08-07,0.0857944602027172
2029-09-07,0.08560404741140659
2029-10-07,0.0854222316981077
2029-11-07,0.08524636813261122
2029-12-07,0.08509021903249625
2030-01-07,0.08493290217822702
2030-02-07,0.0847879036343746
2030-03-07,0.0846576220109041
2030-04-07,0.08453288242261947
2030-05-07,0.08441914579082543
2030-06-07,0.08431492147379238
2030-07-07,0.08422542854039095
2030-08-07,0.08414508379846475
2030-09-07,0.08407834861636654
2030-10-07,0.08402452844798947
2030-11-07,0.08398314783926675
2030-12-07,0.08395683704940282
2031-01-07,0.08394285129913426
2031-02-07,0.08394341041923603
2031-03-07,0.0839584563247262
2031-04-07,0.08398843560424663
2031-05-07,0.08403427805531938
2031-06-07,0.08409719937764382
2031-07-07,0.08417434028232473
2031-08-07,0.08427132353412259
2031-09-07,0.08438421110554173
2031-10-07,0.084515358923545
2031-11-07,0.08466743478507688
2031-12-07,0.08483020181833822
2032-01-07,0.0850210741676507
2032-02-07,0.08522891044159286
2032-03-07,0.08545393713729843
2032-04-07,0.08570318458417292
2032-05-07,0.08597452866742183
2032-06-07,0.0862730356572341
2032-07-07,0.08658449479029473
2032-08-07,0.08693031651668703
2032-09-07,0.08729480113687216
2032-10-07,0.08768461160271324
2032-11-07,0.08810685414992192
2032-12-07,0.08852603319753594
2033-01-07,0.08900162173305626
2033-02-07,0.08949734380123875
2033-03-07,0.09000492862588882
2033-04-07,0.09055766825861467
2033-05-07,0.0911411180674464
2033-06-07,0.0917657472455633
2033-07-07,0.09240170009565785
2033-08-07,0.09309233046793297
