fecha,Total
2020-01-15,0.03622318810868186
2020-02-15,0.037201174610866694
2020-03-15,0.03856035850053452
2020-04-15,0.03506546674443478
2020-05-15,0.028542570560331937
2020-06-15,0.02193590619725061
2020-07-15,0.0197146702041191
2020-08-15,0.018783785942076525
2020-09-15,0.019675912106603244
2020-10-15,0.017481932001267575
2020-11-15,0.014895745591514853
2020-12-15,0.01610441780845684
2021-01-15,0.015971682039013446
2021-02-15,0.015629901999253848
2021-03-15,0.015063910409332637
2021-04-15,0.01947599272469991
2021-05-15,0.032953732451628026
2021-06-15,0.03634399728802573
2021-07-15,0.039697111799671614
2021-08-15,0.04440664059994659
2021-09-15,0.045098149772598406
2021-10-15,0.04583242377661656
2021-11-15,0.05258588855183999
2021-12-15,0.056223851153557325
2022-01-15,0.06944187748184216
2022-02-15,0.08004770876292722
2022-03-15,0.08527511741064253
2022-04-15,0.09233675128714869
2022-05-15,0.09066428247774794
2022-06-15,0.09673488795131346
2022-07-15,0.10205393722639577
2022-08-15,0.10835546774069837
2022-09-15,0.11439512298794496
2022-10-15,0.12221405454464951
2022-11-15,0.12531099492741982
2022-12-15,0.1312211122911271
2023-01-15,0.1325165221610427
2023-02-15,0.13278798406921544
2023-03-15,0.13344076880119404
2023-04-15,0.12822634033233182
2023-05-15,0.12359964477072083
2023-06-15,0.12129270853287322
2023-07-15,0.11784603417174422
2023-08-15,0.11426982586148093
2023-09-15,0.10994018821171525
2023-10-15,0.10977474103791685
2023-11-15,0.1088361547308101
2023-12-15,0.10582208927237158
2024-01-15,0.10203437126130788
2024-02-15,0.09836922256507519
2024-03-15,0.09450463520793884
2024-04-15,0.09088406693150963
2024-05-15,0.087298207307837
2024-06-15,0.08399385800768688
2024-07-15,0.08075948609230399
2024-08-15,0.07771319835417301
2024-09-15,0.07494700089657025
2024-10-15,0.07227808421792448
2024-11-15,0.06987946698481506
2024-12-15,0.06759165385201937
2025-01-15,0.06549785385085238
2025-02-15,0.06377339684091865
2025-03-15,0.06204861039327514
2025-04-15,0.06056379768054132
2025-05-15,0.059219731954039734
2025-06-15,0.0581028349365551
2025-07-15,0.05713471081909938
2025-08-15,0.056346899194740674
2025-09-15,0.05574889587866849
2025-10-15,0.05529456965002244
2025-11-15,0.055006991999033694
2025-12-15,0.05484514120471928
2026-01-15,0.0547905741749346
2026-02-15,0.054811437106641714
2026-03-15,0.054891094429298404
2026-04-15,0.05500661218311609
2026-05-15,0.0551487400066728
2026-06-15,0.05529409830784071
2026-07-15,0.05543932041969546
2026-08-15,0.05556827014968868
2026-09-15,0.05567380338207717
2026-10-15,0.05576348142200027
2026-11-15,0.055832040663820415
2026-12-15,0.055884540001348126
2027-01-15,0.05591883869466163
2027-02-15,0.055934512153577476
2027-03-15,0.05593534979586123
2027-04-15,0.05592042688471599
2027-05-15,0.05588963193366259
2027-06-15,0.055845720876365856
2027-07-15,0.05578649880759046
2027-08-15,0.05571388201098282
2027-09-15,0.055631446366837256
2027-10-15,0.055534282870119966
2027-11-15,0.05543016592506089
2027-12-15,0.055314969950930104
2028-01-15,0.055194775312003674
2028-02-15,0.05508007209600185
2028-03-15,0.05495727534247763
2028-04-15,0.05484024790123021
2028-05-15,0.05472262767096314
2028-06-15,0.054612879246616286
2028-07-15,0.054504524788458575
2028-08-15,0.05440209869967405
2028-09-15,0.05430932546742806
2028-10-15,0.054220699055043564
2028-11-15,0.05414254456441303
2028-12-15,0.054070245262849426
2029-01-15,0.054007109777813866
2029-02-15,0.053958406422684124
2029-03-15,0.05391416222508694
2029-04-15,0.053881431222879694
2029-05-15,0.05385827759421802
2029-06-15,0.05384636524911568
2029-07-15,0.05384506749918616
2029-08-15,0.05385512241795776
2029-09-15,0.05387580647307866
2029-10-15,0.05390863933635881
2029-11-15,0.053951630113577176
2029-12-15,0.05400777072202456
2030-01-15,0.05407594126308002
2030-02-15,0.05414795113317261
2030-03-15,0.05423933231624578
2030-04-15,0.05433952318934532
2030-05-15,0.05445529963738083
2030-06-15,0.054579279890310195
2030-07-15,0.05471981628777356
2030-08-15,0.05487306378784096
2030-09-15,0.05503301876649003
2030-10-15,0.0552068700261259
2030-11-15,0.05537924922682502
2030-12-15,0.055557511352993805
2031-01-15,0.05573190251252358
2031-02-15,0.0558828687464068
2031-03-15,0.05603959818174853
2031-04-15,0.056180696937508046
2031-05-15,0.05631734687889711
2031-06-15,0.05644239518298377
2031-07-15,0.05656584129779696
2031-08-15,0.05668503998464991
2031-09-15,0.0567978247512666
2031-10-15,0.05691317498473514
2031-11-15,0.057024988941938304
2031-12-15,0.057142063747184446
2032-01-15,0.05726200657960989
2032-02-15,0.057377933279119775
2032-03-15,0.05750698921844832
2032-04-15,0.05763801398386059
2032-05-15,0.05778083965281766
2032-06-15,0.05792716879220783
2032-07-15,0.058085414925400425
2032-08-15,0.05824722478133815
2032-09-15,0.058403827244005946
2032-10-15,0.05856229970292759
2032-11-15,0.05870931771909915
2032-12-15,0.058851561763958005
2033-01-15,0.05898091649906201
2033-02-15,0.05908419549624022
2033-03-15,0.059180897548154476
2033-04-15,0.059254468938214844
2033-05-15,0.05930747860289598
2033-06-15,0.059334350064258023
2033-07-15,0.05933469969423211
2033-08-15,0.05930512115646924
2033-09-15,0.059248452453474876
2033-10-15,0.05916440195853401
