Maturity Date,rate
2023-12-07,18.15040042641759
2024-01-07,17.984611568273678
2024-02-07,17.77494934295273
2024-03-07,17.522304432755856
2024-04-07,17.22935143907374
2024-05-07,16.91162841664903
2024-06-07,16.577437313853082
2024-07-07,16.253915931215168
2024-08-07,15.929787516658092
2024-09-07,15.630220999573027
2024-10-07,15.353813464722393
2024-11-07,15.096632808559388
2024-12-07,14.877958902577344
2025-01-07,14.668886088397652
2025-02-07,14.487939808722533
2025-03-07,14.337691392774559
2025-04-07,14.20674764628139
2025-05-07,14.102333918554367
2025-06-07,14.023253878585216
2025-07-07,13.973407613612327
2025-08-07,13.95005495747861
2025-09-07,13.95405521008749
2025-10-07,13.97695864164924
2025-11-07,14.00759167316312
2025-12-07,14.033832863808094
2026-01-07,14.056346597898706
2026-02-07,14.072906070648754
2026-03-07,14.083278330391412
2026-04-07,14.088410227278858
2026-05-07,14.087415708631738
2026-06-07,14.080127489546875
2026-07-07,14.066857589408778
2026-08-07,14.046574463537512
2026-09-07,14.020705516176879
2026-10-07,13.993416658995477
2026-11-07,13.970407889183955
2026-12-07,13.95798077548731
2027-01-07,13.95642873956304
2027-02-07,13.966716957454054
2027-03-07,13.988579826098078
2027-04-07,14.022989222578188
2027-05-07,14.070354080015958
2027-06-07,14.1318203742121
2027-07-07,14.204574262621135
2027-08-07,14.293891023468015
2027-09-07,14.395172151517258
2027-10-07,14.504006157203209
2027-11-07,14.613874727472847
2027-12-07,14.710848617760767
2028-01-07,14.802401704167018
2028-02-07,14.881942400792047
2028-03-07,14.949270068689817
2028-04-07,15.006814930639607
2028-05-07,15.052514049049478
2028-06-07,15.086723677959593
2028-07-07,15.107610288365205
2028-08-07,15.116174251204676
2028-09-07,15.111967083019689
2028-10-07,15.098325352759613
2028-11-07,15.079705043981917
2028-12-07,15.061662978398427
2029-01-07,15.042819567709225
2029-02-07,15.02473754395007
2029-03-07,15.007719177689552
2029-04-07,14.990599673802734
2029-05-07,14.974010282323857
2029-06-07,14.957702147589787
2029-07-07,14.942477422804743
2029-08-07,14.927344556937527
2029-09-07,14.913068578819203
2029-10-07,14.899439685875485
2029-11-07,14.88625931588208
2029-12-07,14.874558414148723
2030-01-07,14.86277184973707
2030-02-07,14.851909840461264
2030-03-07,14.842151632000197
2030-04-07,14.832809714592962
2030-05-07,14.82429283614577
2030-06-07,14.81648911116957
2030-07-07,14.8097890356056
2030-08-07,14.803774367788145
2030-09-07,14.798778888146224
2030-10-07,14.794750407377606
2030-11-07,14.791653184153803
2030-12-07,14.789683961321622
2031-01-07,14.788637223251092
2031-02-07,14.788679069295922
2031-03-07,14.789805153986654
2031-04-07,14.792048951503109
2031-05-07,14.795480156906049
2031-06-07,14.8001899331654
2031-07-07,14.805964474400373
2031-08-07,14.813224985585222
2031-09-07,14.821677034951927
2031-10-07,14.831497448985779
2031-11-07,14.842886573297244
2031-12-07,14.855078284309112
2032-01-07,14.869377683646448
2032-02-07,14.884951048016461
2032-03-07,14.901816145497348
2032-04-07,14.92050093512583
2032-05-07,14.940847474783888
2032-06-07,14.963237164858132
2032-07-07,14.98660544260832
2032-08-07,15.012560393548046
2032-09-07,15.039925738528236
2032-10-07,15.069203543984688
2032-11-07,15.1009300925083
2032-12-07,15.132439669291417
2033-01-07,15.168205482038937
2033-02-07,15.20550345785156
2033-03-07,15.243713089839783
2033-04-07,15.285343854795942
2033-05-07,15.329312518963864
2033-06-07,15.376412809359204
2033-07-07,15.424397107734002
2033-08-07,15.476541439685299
